FR0003500008;01/03/16;4343,93;4406,95;4328,80;4406,84;3450650
FR0003500008;02/03/16;4428,95;4448,30;4387,21;4424,89;3618918
FR0003500008;03/03/16;4430,90;4430,90;4392,58;4416,08;3134103
FR0003500008;04/03/16;4437,82;4480,21;4413,93;4456,62;3663081
FR0003500008;07/03/16;4436,37;4458,82;4406,90;4442,29;3001970
FR0003500008;08/03/16;4405,16;4437,17;4363,55;4404,02;3304431
FR0003500008;09/03/16;4405,95;4458,77;4397,98;4425,65;3167115
FR0003500008;10/03/16;4432,56;4580,97;4350,35;4350,35;6046674
FR0003500008;11/03/16;4430,24;4492,79;4421,95;4492,79;4233567
FR0003500008;14/03/16;4501,81;4535,91;4494,60;4506,59;3310635
FR0003500008;15/03/16;4474,26;4488,78;4450,16;4472,63;3222910
FR0003500008;16/03/16;4486,70;4502,96;4446,99;4463,00;3215050
FR0003500008;17/03/16;4501,68;4501,68;4367,44;4442,89;4302710
FR0003500008;18/03/16;4452,04;4472,73;4418,49;4462,51;6730538
FR0003500008;21/03/16;4425,84;4481,11;4415,93;4427,80;2589346
FR0003500008;22/03/16;4396,87;4431,97;4358,57;4431,97;3192348
FR0003500008;23/03/16;4442,59;4467,86;4396,10;4423,98;2900217
FR0003500008;24/03/16;4390,11;4392,81;4323,18;4329,68;2940484
FR0003500008;29/03/16;4354,03;4382,98;4333,33;4366,67;2702322
FR0003500008;30/03/16;4387,36;4466,50;4387,36;4444,42;3322746
FR0003500008;31/03/16;4416,84;4419,62;4378,77;4385,06;3620897
FR0003500008;01/04/16;4331,28;4331,28;4261,25;4322,24;4081338
FR0003500008;04/04/16;4301,88;4378,05;4280,90;4345,22;3089593
FR0003500008;05/04/16;4289,09;4289,09;4241,61;4250,28;3560259
FR0003500008;06/04/16;4262,30;4284,64;4243,02;4284,64;3088492
FR0003500008;07/04/16;4288,71;4316,78;4229,12;4245,91;3153375
FR0003500008;08/04/16;4259,10;4315,59;4258,51;4303,12;2900833
FR0003500008;11/04/16;4294,12;4338,81;4263,08;4312,63;2641642
FR0003500008;12/04/16;4317,50;4348,40;4269,10;4345,91;3312835
FR0003500008;13/04/16;4407,03;4490,31;4404,58;4490,31;4180138
FR0003500008;14/04/16;4487,22;4515,00;4473,35;4511,51;3544303
FR0003500008;15/04/16;4502,16;4508,16;4482,33;4495,17;3364902
FR0003500008;18/04/16;4425,25;4517,08;4424,76;4506,84;2740138
